#    L    TT             EE             BB             TE          
   288    0.43800E+04    0.71586E+01    0.26761E-01    0.11085E+03
   289    0.43482E+04    0.73207E+01    0.26906E-01    0.11156E+03
   290    0.43163E+04    0.74842E+01    0.27051E-01    0.11224E+03
   291    0.42842E+04    0.76500E+01    0.27195E-01    0.11288E+03
   292    0.42517E+04    0.78167E+01    0.27339E-01    0.11349E+03
   293    0.42193E+04    0.79842E+01    0.27482E-01    0.11406E+03
   294    0.41866E+04    0.81539E+01    0.27624E-01    0.11461E+03
   295    0.41541E+04    0.83242E+01    0.27766E-01    0.11511E+03
   296    0.41212E+04    0.84967E+01    0.27907E-01    0.11558E+03
   297    0.40883E+04    0.86692E+01    0.28047E-01    0.11602E+03
   298    0.40552E+04    0.88438E+01    0.28186E-01    0.11642E+03
   299    0.40220E+04    0.90199E+01    0.28325E-01    0.11678E+03
   300    0.39888E+04    0.91959E+01    0.28463E-01    0.11710E+03
   301    0.39555E+04    0.93734E+01    0.28601E-01    0.11739E+03
   302    0.39221E+04    0.95515E+01    0.28737E-01    0.11765E+03
   303    0.38888E+04    0.97310E+01    0.28873E-01    0.11786E+03
   304    0.38553E+04    0.99120E+01    0.29008E-01    0.11803E+03
   305    0.38219E+04    0.10093E+02    0.29143E-01    0.11817E+03
   306    0.37884E+04    0.10275E+02    0.29277E-01    0.11828E+03
   307    0.37549E+04    0.10457E+02    0.29410E-01    0.11833E+03
   308    0.37214E+04    0.10641E+02    0.29542E-01    0.11837E+03
   309    0.36880E+04    0.10825E+02    0.29674E-01    0.11835E+03
   310    0.36546E+04    0.11008E+02    0.29805E-01    0.11831E+03
   311    0.36212E+04    0.11194E+02    0.29935E-01    0.11822E+03
   312    0.35879E+04    0.11379E+02    0.30065E-01    0.11810E+03
   313    0.35546E+04    0.11564E+02    0.30194E-01    0.11793E+03
   314    0.35214E+04    0.11751E+02    0.30322E-01    0.11773E+03
   315    0.34883E+04    0.11936E+02    0.30449E-01    0.11749E+03
   316    0.34553E+04    0.12122E+02    0.30576E-01    0.11722E+03
   317    0.34224E+04    0.12307E+02    0.30702E-01    0.11690E+03
   318    0.33895E+04    0.12494E+02    0.30827E-01    0.11655E+03
   319    0.33568E+04    0.12680E+02    0.30952E-01    0.11616E+03
   320    0.33243E+04    0.12866E+02    0.31076E-01    0.11574E+03
   321    0.32918E+04    0.13052E+02    0.31199E-01    0.11528E+03
   322    0.32595E+04    0.13237E+02    0.31322E-01    0.11478E+03
   323    0.32274E+04    0.13422E+02    0.31444E-01    0.11424E+03
   324    0.31954E+04    0.13607E+02    0.31565E-01    0.11366E+03
   325    0.31637E+04    0.13790E+02    0.31685E-01    0.11306E+03
   326    0.31320E+04    0.13973E+02    0.31805E-01    0.11240E+03
   327    0.31006E+04    0.14156E+02    0.31925E-01    0.11172E+03
   328    0.30694E+04    0.14338E+02    0.32043E-01    0.11100E+03
   329    0.30384E+04    0.14519E+02    0.32161E-01    0.11024E+03
   330    0.30076E+04    0.14699E+02    0.32279E-01    0.10945E+03
   331    0.29771E+04    0.14877E+02    0.32396E-01    0.10862E+03
   332    0.29467E+04    0.15056E+02    0.32512E-01    0.10777E+03
   333    0.29166E+04    0.15234E+02    0.32627E-01    0.10688E+03
   334    0.28868E+04    0.15410E+02    0.32743E-01    0.10595E+03
   335    0.28572E+04    0.15584E+02    0.32857E-01    0.10498E+03
   336    0.28278E+04    0.15757E+02    0.32971E-01    0.10399E+03
   337    0.27988E+04    0.15930E+02    0.33085E-01    0.10295E+03
   338    0.27700E+04    0.16100E+02    0.33198E-01    0.10189E+03
   339    0.27416E+04    0.16270E+02    0.33310E-01    0.10079E+03
   340    0.27134E+04    0.16437E+02    0.33423E-01    0.99671E+02
   341    0.26855E+04    0.16603E+02    0.33534E-01    0.98507E+02
   342    0.26579E+04    0.16768E+02    0.33645E-01    0.97315E+02
   343    0.26306E+04    0.16930E+02    0.33756E-01    0.96093E+02
   344    0.26037E+04    0.17091E+02    0.33867E-01    0.94842E+02
   345    0.25771E+04    0.17249E+02    0.33977E-01    0.93561E+02
   346    0.25508E+04    0.17407E+02    0.34087E-01    0.92259E+02
   347    0.25248E+04    0.17561E+02    0.34196E-01    0.90921E+02
   348    0.24992E+04    0.17713E+02    0.34305E-01    0.89553E+02
   349    0.24739E+04    0.17863E+02    0.34414E-01    0.88156E+02
   350    0.24490E+04    0.18011E+02    0.34523E-01    0.86737E+02
   351    0.24247E+04    0.18157E+02    0.34631E-01    0.85290E+02
   352    0.24004E+04    0.18300E+02    0.34739E-01    0.83813E+02
   353    0.23767E+04    0.18441E+02    0.34847E-01    0.82322E+02
   354    0.23532E+04    0.18579E+02    0.34955E-01    0.80794E+02
   355    0.23302E+04    0.18715E+02    0.35063E-01    0.79245E+02
   356    0.23076E+04    0.18848E+02    0.35170E-01    0.77682E+02
   357    0.22853E+04    0.18979E+02    0.35278E-01    0.76090E+02
   358    0.22635E+04    0.19105E+02    0.35385E-01    0.74483E+02
   359    0.22420E+04    0.19230E+02    0.35493E-01    0.72848E+02
   360    0.22210E+04    0.19352E+02    0.35600E-01    0.71195E+02
   361    0.22003E+04    0.19471E+02    0.35707E-01    0.69519E+02
   362    0.21801E+04    0.19587E+02    0.35814E-01    0.67824E+02
   363    0.21602E+04    0.19701E+02    0.35922E-01    0.66113E+02
   364    0.21408E+04    0.19810E+02    0.36029E-01    0.64380E+02
   365    0.21218E+04    0.19917E+02    0.36136E-01    0.62633E+02
   366    0.21032E+04    0.20021E+02    0.36244E-01    0.60868E+02
   367    0.20851E+04    0.20120E+02    0.36352E-01    0.59088E+02
   368    0.20673E+04    0.20217E+02    0.36459E-01    0.57294E+02
   369    0.20501E+04    0.20311E+02    0.36567E-01    0.55483E+02
   370    0.20332E+04    0.20401E+02    0.36675E-01    0.53661E+02
   371    0.20168E+04    0.20488E+02    0.36784E-01    0.51825E+02
