#    L    TT             EE             TE             PP             TP          
   293    0.42278E+04    0.79564E+01    0.11489E+03    0.17015E+07    0.12795E+04
   294    0.41949E+04    0.81271E+01    0.11545E+03    0.16946E+07    0.12689E+04
   295    0.41622E+04    0.82984E+01    0.11596E+03    0.16877E+07    0.12584E+04
   296    0.41292E+04    0.84720E+01    0.11645E+03    0.16809E+07    0.12479E+04
   297    0.40960E+04    0.86456E+01    0.11690E+03    0.16741E+07    0.12375E+04
   298    0.40627E+04    0.88213E+01    0.11731E+03    0.16673E+07    0.12271E+04
   299    0.40294E+04    0.89986E+01    0.11768E+03    0.16606E+07    0.12169E+04
   300    0.39960E+04    0.91758E+01    0.11801E+03    0.16539E+07    0.12067E+04
   301    0.39624E+04    0.93544E+01    0.11832E+03    0.16473E+07    0.11965E+04
   302    0.39289E+04    0.95338E+01    0.11859E+03    0.16407E+07    0.11864E+04
   303    0.38953E+04    0.97147E+01    0.11882E+03    0.16341E+07    0.11764E+04
   304    0.38617E+04    0.98970E+01    0.11900E+03    0.16276E+07    0.11665E+04
   305    0.38280E+04    0.10079E+02    0.11915E+03    0.16211E+07    0.11566E+04
   306    0.37943E+04    0.10262E+02    0.11926E+03    0.16147E+07    0.11468E+04
   307    0.37606E+04    0.10446E+02    0.11933E+03    0.16083E+07    0.11370E+04
   308    0.37269E+04    0.10632E+02    0.11938E+03    0.16019E+07    0.11273E+04
   309    0.36933E+04    0.10817E+02    0.11937E+03    0.15956E+07    0.11177E+04
   310    0.36596E+04    0.11002E+02    0.11933E+03    0.15893E+07    0.11082E+04
   311    0.36259E+04    0.11189E+02    0.11925E+03    0.15830E+07    0.10987E+04
   312    0.35924E+04    0.11376E+02    0.11914E+03    0.15768E+07    0.10892E+04
   313    0.35589E+04    0.11563E+02    0.11898E+03    0.15706E+07    0.10799E+04
   314    0.35255E+04    0.11751E+02    0.11879E+03    0.15645E+07    0.10706E+04
   315    0.34921E+04    0.11938E+02    0.11856E+03    0.15583E+07    0.10614E+04
   316    0.34588E+04    0.12126E+02    0.11829E+03    0.15523E+07    0.10522E+04
   317    0.34256E+04    0.12313E+02    0.11798E+03    0.15462E+07    0.10431E+04
   318    0.33925E+04    0.12501E+02    0.11764E+03    0.15402E+07    0.10341E+04
   319    0.33595E+04    0.12689E+02    0.11726E+03    0.15342E+07    0.10251E+04
   320    0.33267E+04    0.12876E+02    0.11684E+03    0.15283E+07    0.10162E+04
