#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   155    0.44859E+04   -0.45045E+02    0.14819E-05   -0.45045E+02    0.10342E+01   -0.44161E-08    0.14819E-05   -0.44161E-08    0.29980E-11
   156    0.45170E+04   -0.44942E+02    0.14596E-05   -0.44942E+02    0.10271E+01   -0.43364E-08    0.14596E-05   -0.43364E-08    0.29421E-11
   157    0.45479E+04   -0.44812E+02    0.14377E-05   -0.44812E+02    0.10196E+01   -0.42648E-08    0.14377E-05   -0.42648E-08    0.28875E-11
   158    0.45786E+04   -0.44657E+02    0.14162E-05   -0.44657E+02    0.10118E+01   -0.42006E-08    0.14162E-05   -0.42006E-08    0.28342E-11
   159    0.46090E+04   -0.44476E+02    0.13951E-05   -0.44476E+02    0.10036E+01   -0.41432E-08    0.13951E-05   -0.41432E-08    0.27822E-11
   160    0.46392E+04   -0.44269E+02    0.13744E-05   -0.44269E+02    0.99508E+00   -0.40919E-08    0.13744E-05   -0.40919E-08    0.27314E-11
   161    0.46691E+04   -0.44035E+02    0.13540E-05   -0.44035E+02    0.98635E+00   -0.40461E-08    0.13540E-05   -0.40461E-08    0.26818E-11
   162    0.46987E+04   -0.43777E+02    0.13340E-05   -0.43777E+02    0.97726E+00   -0.40051E-08    0.13340E-05   -0.40051E-08    0.26334E-11
   163    0.47282E+04   -0.43491E+02    0.13143E-05   -0.43491E+02    0.96788E+00   -0.39682E-08    0.13143E-05   -0.39682E-08    0.25861E-11
   164    0.47572E+04   -0.43180E+02    0.12951E-05   -0.43180E+02    0.95828E+00   -0.39348E-08    0.12951E-05   -0.39348E-08    0.25399E-11
   165    0.47860E+04   -0.42840E+02    0.12761E-05   -0.42840E+02    0.94840E+00   -0.39042E-08    0.12761E-05   -0.39042E-08    0.24947E-11
   166    0.48146E+04   -0.42475E+02    0.12575E-05   -0.42475E+02    0.93838E+00   -0.38759E-08    0.12575E-05   -0.38759E-08    0.24507E-11
   167    0.48429E+04   -0.42084E+02    0.12393E-05   -0.42084E+02    0.92801E+00   -0.38490E-08    0.12393E-05   -0.38490E-08    0.24076E-11
   168    0.48707E+04   -0.41665E+02    0.12214E-05   -0.41665E+02    0.91764E+00   -0.38230E-08    0.12214E-05   -0.38230E-08    0.23656E-11
   169    0.48982E+04   -0.41218E+02    0.12038E-05   -0.41218E+02    0.90699E+00   -0.37972E-08    0.12038E-05   -0.37972E-08    0.23245E-11
   170    0.49254E+04   -0.40745E+02    0.11865E-05   -0.40745E+02    0.89628E+00   -0.37710E-08    0.11865E-05   -0.37710E-08    0.22843E-11
   171    0.49521E+04   -0.40243E+02    0.11696E-05   -0.40243E+02    0.88551E+00   -0.37436E-08    0.11696E-05   -0.37436E-08    0.22450E-11
   172    0.49784E+04   -0.39715E+02    0.11529E-05   -0.39715E+02    0.87460E+00   -0.37145E-08    0.11529E-05   -0.37145E-08    0.22066E-11
   173    0.50043E+04   -0.39158E+02    0.11366E-05   -0.39158E+02    0.86357E+00   -0.36830E-08    0.11366E-05   -0.36830E-08    0.21690E-11
   174    0.50298E+04   -0.38575E+02    0.11206E-05   -0.38575E+02    0.85269E+00   -0.36484E-08    0.11206E-05   -0.36484E-08    0.21322E-11
   175    0.50549E+04   -0.37964E+02    0.11048E-05   -0.37964E+02    0.84168E+00   -0.36101E-08    0.11048E-05   -0.36101E-08    0.20963E-11
   176    0.50795E+04   -0.37325E+02    0.10894E-05   -0.37325E+02    0.83077E+00   -0.35675E-08    0.10894E-05   -0.35675E-08    0.20610E-11
   177    0.51037E+04   -0.36659E+02    0.10743E-05   -0.36659E+02    0.81987E+00   -0.35208E-08    0.10743E-05   -0.35208E-08    0.20265E-11
