#    L    TT             EE             TE             PP             TP          
   245    0.55026E+04    0.21014E+01    0.58140E+02    0.19291E+07    0.18791E+04
   246    0.54866E+04    0.21767E+01    0.59798E+02    0.19200E+07    0.18646E+04
   247    0.54701E+04    0.22541E+01    0.61448E+02    0.19110E+07    0.18501E+04
   248    0.54530E+04    0.23341E+01    0.63089E+02    0.19020E+07    0.18358E+04
   249    0.54355E+04    0.24160E+01    0.64721E+02    0.18932E+07    0.18216E+04
   250    0.54174E+04    0.25005E+01    0.66341E+02    0.18843E+07    0.18074E+04
   251    0.53987E+04    0.25871E+01    0.67952E+02    0.18756E+07    0.17934E+04
   252    0.53795E+04    0.26760E+01    0.69550E+02    0.18669E+07    0.17795E+04
   253    0.53599E+04    0.27671E+01    0.71136E+02    0.18583E+07    0.17656E+04
   254    0.53397E+04    0.28607E+01    0.72708E+02    0.18497E+07    0.17519E+04
   255    0.53190E+04    0.29564E+01    0.74267E+02    0.18412E+07    0.17383E+04
   256    0.52978E+04    0.30546E+01    0.75812E+02    0.18327E+07    0.17247E+04
   257    0.52762E+04    0.31549E+01    0.77336E+02    0.18243E+07    0.17113E+04
   258    0.52540E+04    0.32577E+01    0.78852E+02    0.18160E+07    0.16979E+04
   259    0.52314E+04    0.33627E+01    0.80343E+02    0.18077E+07    0.16847E+04
   260    0.52084E+04    0.34700E+01    0.81826E+02    0.17995E+07    0.16715E+04
   261    0.51849E+04    0.35795E+01    0.83278E+02    0.17914E+07    0.16585E+04
   262    0.51609E+04    0.36914E+01    0.84721E+02    0.17833E+07    0.16455E+04
   263    0.51367E+04    0.38056E+01    0.86147E+02    0.17752E+07    0.16326E+04
   264    0.51119E+04    0.39220E+01    0.87551E+02    0.17673E+07    0.16199E+04
   265    0.50866E+04    0.40406E+01    0.88922E+02    0.17593E+07    0.16072E+04
   266    0.50610E+04    0.41616E+01    0.90285E+02    0.17514E+07    0.15946E+04
   267    0.50349E+04    0.42846E+01    0.91617E+02    0.17436E+07    0.15821E+04
   268    0.50084E+04    0.44101E+01    0.92933E+02    0.17359E+07    0.15696E+04
   269    0.49814E+04    0.45377E+01    0.94225E+02    0.17281E+07    0.15573E+04
   270    0.49541E+04    0.46674E+01    0.95494E+02    0.17205E+07    0.15451E+04
   271    0.49264E+04    0.47993E+01    0.96738E+02    0.17129E+07    0.15329E+04
   272    0.48985E+04    0.49335E+01    0.97952E+02    0.17053E+07    0.15208E+04
   273    0.48701E+04    0.50696E+01    0.99149E+02    0.16978E+07    0.15088E+04
   274    0.48415E+04    0.52081E+01    0.10031E+03    0.16904E+07    0.14969E+04
   275    0.48124E+04    0.53484E+01    0.10145E+03    0.16830E+07    0.14851E+04
   276    0.47832E+04    0.54908E+01    0.10255E+03    0.16756E+07    0.14734E+04
   277    0.47535E+04    0.56353E+01    0.10364E+03    0.16683E+07    0.14617E+04
   278    0.47236E+04    0.57818E+01    0.10469E+03    0.16611E+07    0.14501E+04
   279    0.46934E+04    0.59303E+01    0.10571E+03    0.16539E+07    0.14386E+04
   280    0.46629E+04    0.60807E+01    0.10671E+03    0.16467E+07    0.14272E+04
   281    0.46323E+04    0.62331E+01    0.10767E+03    0.16396E+07    0.14159E+04
   282    0.46012E+04    0.63872E+01    0.10861E+03    0.16326E+07    0.14046E+04
   283    0.45699E+04    0.65432E+01    0.10951E+03    0.16256E+07    0.13934E+04
   284    0.45385E+04    0.67010E+01    0.11038E+03    0.16186E+07    0.13823E+04
   285    0.45069E+04    0.68607E+01    0.11121E+03    0.16117E+07    0.13713E+04
   286    0.44749E+04    0.70221E+01    0.11201E+03    0.16048E+07    0.13603E+04
   287    0.44427E+04    0.71852E+01    0.11279E+03    0.15980E+07    0.13494E+04
   288    0.44104E+04    0.73500E+01    0.11353E+03    0.15912E+07    0.13386E+04
   289    0.43779E+04    0.75164E+01    0.11423E+03    0.15845E+07    0.13279E+04
   290    0.43453E+04    0.76843E+01    0.11491E+03    0.15778E+07    0.13172E+04
   291    0.43125E+04    0.78543E+01    0.11554E+03    0.15711E+07    0.13066E+04
   292    0.42792E+04    0.80254E+01    0.11614E+03    0.15645E+07    0.12960E+04
   293    0.42462E+04    0.81973E+01    0.11670E+03    0.15579E+07    0.12856E+04
   294    0.42128E+04    0.83713E+01    0.11724E+03    0.15514E+07    0.12752E+04
   295    0.41795E+04    0.85460E+01    0.11773E+03    0.15449E+07    0.12649E+04
   296    0.41460E+04    0.87229E+01    0.11819E+03    0.15385E+07    0.12546E+04
   297    0.41123E+04    0.88998E+01    0.11862E+03    0.15321E+07    0.12444E+04
   298    0.40785E+04    0.90789E+01    0.11900E+03    0.15257E+07    0.12343E+04
   299    0.40447E+04    0.92594E+01    0.11934E+03    0.15194E+07    0.12242E+04
   300    0.40107E+04    0.94398E+01    0.11964E+03    0.15131E+07    0.12142E+04
   301    0.39767E+04    0.96217E+01    0.11992E+03    0.15068E+07    0.12042E+04
