#    L    TT             EE             BB             TE             PP             TP             EP          
   159    0.46090E+04    0.10036E+01    0.00000E+00   -0.44476E+02    0.70804E-07    0.22249E-03   -0.67851E-06
   160    0.46392E+04    0.99508E+00    0.00000E+00   -0.44269E+02    0.70388E-07    0.22056E-03   -0.67484E-06
   161    0.46691E+04    0.98635E+00    0.00000E+00   -0.44035E+02    0.69976E-07    0.21864E-03   -0.67166E-06
   162    0.46987E+04    0.97726E+00    0.00000E+00   -0.43777E+02    0.69568E-07    0.21675E-03   -0.66888E-06
   163    0.47282E+04    0.96788E+00    0.00000E+00   -0.43491E+02    0.69163E-07    0.21487E-03   -0.66642E-06
   164    0.47572E+04    0.95828E+00    0.00000E+00   -0.43180E+02    0.68761E-07    0.21302E-03   -0.66421E-06
   165    0.47860E+04    0.94840E+00    0.00000E+00   -0.42840E+02    0.68363E-07    0.21118E-03   -0.66217E-06
   166    0.48146E+04    0.93838E+00    0.00000E+00   -0.42475E+02    0.67969E-07    0.20936E-03   -0.66022E-06
   167    0.48429E+04    0.92801E+00    0.00000E+00   -0.42084E+02    0.67577E-07    0.20756E-03   -0.65827E-06
   168    0.48707E+04    0.91764E+00    0.00000E+00   -0.41665E+02    0.67189E-07    0.20578E-03   -0.65626E-06
   169    0.48982E+04    0.90699E+00    0.00000E+00   -0.41218E+02    0.66805E-07    0.20403E-03   -0.65410E-06
   170    0.49254E+04    0.89628E+00    0.00000E+00   -0.40745E+02    0.66423E-07    0.20229E-03   -0.65171E-06
   171    0.49521E+04    0.88551E+00    0.00000E+00   -0.40243E+02    0.66045E-07    0.20057E-03   -0.64901E-06
   172    0.49784E+04    0.87460E+00    0.00000E+00   -0.39715E+02    0.65670E-07    0.19887E-03   -0.64592E-06
   173    0.50043E+04    0.86357E+00    0.00000E+00   -0.39158E+02    0.65299E-07    0.19719E-03   -0.64238E-06
   174    0.50298E+04    0.85269E+00    0.00000E+00   -0.38575E+02    0.64930E-07    0.19554E-03   -0.63828E-06
   175    0.50549E+04    0.84168E+00    0.00000E+00   -0.37964E+02    0.64565E-07    0.19390E-03   -0.63357E-06
   176    0.50795E+04    0.83077E+00    0.00000E+00   -0.37325E+02    0.64202E-07    0.19228E-03   -0.62817E-06
   177    0.51037E+04    0.81987E+00    0.00000E+00   -0.36659E+02    0.63843E-07    0.19069E-03   -0.62210E-06
   178    0.51274E+04    0.80921E+00    0.00000E+00   -0.35966E+02    0.63487E-07    0.18911E-03   -0.61538E-06
   179    0.51506E+04    0.79849E+00    0.00000E+00   -0.35245E+02    0.63134E-07    0.18756E-03   -0.60803E-06
   180    0.51735E+04    0.78794E+00    0.00000E+00   -0.34497E+02    0.62784E-07    0.18602E-03   -0.60009E-06
   181    0.51959E+04    0.77756E+00    0.00000E+00   -0.33723E+02    0.62437E-07    0.18450E-03   -0.59157E-06
   182    0.52178E+04    0.76743E+00    0.00000E+00   -0.32921E+02    0.62093E-07    0.18300E-03   -0.58250E-06
   183    0.52392E+04    0.75746E+00    0.00000E+00   -0.32093E+02    0.61752E-07    0.18152E-03   -0.57292E-06
   184    0.52601E+04    0.74774E+00    0.00000E+00   -0.31237E+02    0.61414E-07    0.18005E-03   -0.56283E-06
   185    0.52806E+04    0.73841E+00    0.00000E+00   -0.30357E+02    0.61079E-07    0.17860E-03   -0.55228E-06
   186    0.53003E+04    0.72934E+00    0.00000E+00   -0.29449E+02    0.60746E-07    0.17717E-03   -0.54128E-06
   187    0.53198E+04    0.72066E+00    0.00000E+00   -0.28515E+02    0.60416E-07    0.17576E-03   -0.52986E-06
   188    0.53387E+04    0.71236E+00    0.00000E+00   -0.27556E+02    0.60089E-07    0.17435E-03   -0.51804E-06
   189    0.53570E+04    0.70448E+00    0.00000E+00   -0.26571E+02    0.59765E-07    0.17297E-03   -0.50586E-06
   190    0.53752E+04    0.69707E+00    0.00000E+00   -0.25562E+02    0.59444E-07    0.17160E-03   -0.49334E-06
   191    0.53925E+04    0.69015E+00    0.00000E+00   -0.24526E+02    0.59125E-07    0.17024E-03   -0.48049E-06
   192    0.54094E+04    0.68375E+00    0.00000E+00   -0.23466E+02    0.58808E-07    0.16889E-03   -0.46736E-06
   193    0.54256E+04    0.67792E+00    0.00000E+00   -0.22382E+02    0.58495E-07    0.16756E-03   -0.45395E-06
   194    0.54415E+04    0.67267E+00    0.00000E+00   -0.21273E+02    0.58184E-07    0.16624E-03   -0.44031E-06
   195    0.54568E+04    0.66806E+00    0.00000E+00   -0.20141E+02    0.57875E-07    0.16494E-03   -0.42645E-06
   196    0.54714E+04    0.66412E+00    0.00000E+00   -0.18984E+02    0.57569E-07    0.16364E-03   -0.41240E-06
   197    0.54856E+04    0.66088E+00    0.00000E+00   -0.17806E+02    0.57266E-07    0.16236E-03   -0.39819E-06
   198    0.54993E+04    0.65839E+00    0.00000E+00   -0.16604E+02    0.56965E-07    0.16108E-03   -0.38384E-06
   199    0.55125E+04    0.65667E+00    0.00000E+00   -0.15381E+02    0.56667E-07    0.15982E-03   -0.36937E-06
   200    0.55251E+04    0.65575E+00    0.00000E+00   -0.14135E+02    0.56370E-07    0.15857E-03   -0.35482E-06
   201    0.55371E+04    0.65570E+00    0.00000E+00   -0.12868E+02    0.56077E-07    0.15732E-03   -0.34020E-06
   202    0.55486E+04    0.65652E+00    0.00000E+00   -0.11579E+02    0.55785E-07    0.15609E-03   -0.32552E-06
   203    0.55595E+04    0.65827E+00    0.00000E+00   -0.10269E+02    0.55496E-07    0.15486E-03   -0.31078E-06
   204    0.55697E+04    0.66098E+00    0.00000E+00   -0.89410E+01    0.55210E-07    0.15365E-03   -0.29599E-06
   205    0.55794E+04    0.66468E+00    0.00000E+00   -0.75919E+01    0.54925E-07    0.15244E-03   -0.28116E-06
   206    0.55884E+04    0.66942E+00    0.00000E+00   -0.62233E+01    0.54643E-07    0.15124E-03   -0.26628E-06
   207    0.55968E+04    0.67522E+00    0.00000E+00   -0.48358E+01    0.54363E-07    0.15005E-03   -0.25135E-06
   208    0.56046E+04    0.68212E+00    0.00000E+00   -0.34297E+01    0.54085E-07    0.14887E-03   -0.23640E-06
   209    0.56117E+04    0.69016E+00    0.00000E+00   -0.20056E+01    0.53810E-07    0.14770E-03   -0.22140E-06
   210    0.56182E+04    0.69939E+00    0.00000E+00   -0.56427E+00    0.53537E-07    0.14654E-03   -0.20638E-06
   211    0.56241E+04    0.70983E+00    0.00000E+00    0.89415E+00    0.53266E-07    0.14539E-03   -0.19133E-06
   212    0.56293E+04    0.72151E+00    0.00000E+00    0.23687E+01    0.52997E-07    0.14424E-03   -0.17625E-06
   213    0.56339E+04    0.73448E+00    0.00000E+00    0.38595E+01    0.52730E-07    0.14310E-03   -0.16116E-06
   214    0.56379E+04    0.74873E+00    0.00000E+00    0.53653E+01    0.52465E-07    0.14198E-03   -0.14605E-06
   215    0.56413E+04    0.76445E+00    0.00000E+00    0.68853E+01    0.52203E-07    0.14086E-03   -0.13092E-06
   216    0.56440E+04    0.78147E+00    0.00000E+00    0.84200E+01    0.51942E-07    0.13975E-03   -0.11579E-06
   217    0.56461E+04    0.79993E+00    0.00000E+00    0.99674E+01    0.51684E-07    0.13864E-03   -0.10065E-06
   218    0.56476E+04    0.81983E+00    0.00000E+00    0.11528E+02    0.51428E-07    0.13755E-03   -0.85512E-07
   219    0.56485E+04    0.84118E+00    0.00000E+00    0.13102E+02    0.51173E-07    0.13646E-03   -0.70373E-07
   220    0.56488E+04    0.86412E+00    0.00000E+00    0.14686E+02    0.50921E-07    0.13539E-03   -0.55239E-07
   221    0.56485E+04    0.88858E+00    0.00000E+00    0.16281E+02    0.50671E-07    0.13432E-03   -0.40114E-07
   222    0.56475E+04    0.91471E+00    0.00000E+00    0.17886E+02    0.50422E-07    0.13326E-03   -0.25001E-07
   223    0.56459E+04    0.94243E+00    0.00000E+00    0.19503E+02    0.50176E-07    0.13220E-03   -0.99035E-08
   224    0.56438E+04    0.97174E+00    0.00000E+00    0.21126E+02    0.49931E-07    0.13116E-03    0.51744E-08
   225    0.56410E+04    0.10028E+01    0.00000E+00    0.22760E+02    0.49689E-07    0.13012E-03    0.20230E-07
   226    0.56376E+04    0.10356E+01    0.00000E+00    0.24400E+02    0.49448E-07    0.12909E-03    0.35258E-07
   227    0.56335E+04    0.10701E+01    0.00000E+00    0.26047E+02    0.49209E-07    0.12807E-03    0.50257E-07
   228    0.56289E+04    0.11064E+01    0.00000E+00    0.27701E+02    0.48972E-07    0.12706E-03    0.65222E-07
   229    0.56237E+04    0.11445E+01    0.00000E+00    0.29360E+02    0.48737E-07    0.12605E-03    0.80150E-07
